"Contents","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Table 5a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Median house price (existing dwellings) by local authority district, England and Wales, year ending September 2002 to year ending September 2018 (£)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Region code","Region name","Local authority code","Local authority name","Year ending Sep 2002","Year ending Sep 2003","Year ending Sep 2004","Year ending Sep 2005","Year ending Sep 2006","Year ending Sep 2007","Year ending Sep 2008","Year ending Sep 2009","Year ending Sep 2010","Year ending Sep 2011","Year ending Sep 2012","Year ending Sep 2013","Year ending Sep 2014","Year ending Sep 2015","Year ending Sep 2016","Year ending Sep 2017","Year ending Sep 2018"
"E12000002","North West","E08000006","Salford","52000","64500","84000","94950","110000","119747.5","119000","114000","111000","108000","110000","108950","115000","123000","132000","146000","150250"
"E12000002","North West","E08000007","Stockport","89000","109950","134000","141000","150000","164475","163071.5","155000","160000","159000","160000","162000","170000","180000","190000","200000","217500"
"E12000002","North West","E08000008","Tameside","52000","65000","83000","94800","107000","120000","121000","105000","108000","105000","105000","107000","115000","118000","125000","130000","137250"
"E12000002","North West","E08000009","Trafford","110000","126950","153000","169000","175000","186850","185000","172936","185000","185000","184250","190000","199950","219250","235000","250000","270000"
"E12000002","North West","E08000010","Wigan","51000","63000","84500","94950","105000","114500","115000","105000","112000","107000","105000","106000","115000","118000","120000","126000","128000"
"E12000002","North West","E07000117","Burnley","29950","29950","36000","45000","61000","75000","80000","72500","74600","72000","74000","72000","77000","75000","81000","80000","85000"
"E12000002","North West","E07000118","Chorley","68000","84000","110000","125000","133000","137925","145000","132750","137487.5","132623","130000","135000","139725","150000","151500","156000","159000"
"E12000002","North West","E07000119","Fylde","82950","115000","140000","152500","165000","174950","169250","160000","170000","160000","155000","160000","164000","170500","177250","184500","180000"
"E12000002","North West","E07000120","Hyndburn","36000","37500","52000","66000","76000","90000","94000","82500","85000","85000","86000","86250","85000","88200","95000","96000","99725"
"E12000002","North West","E07000121","Lancaster","59000","76000","97500","117000","121000","130000","135000","124500","131000","125000","125000","130000","133000","135000","142500","145000","150000"
"E12000002","North West","E07000122","Pendle","33000","36000","46000","58100","75000","89725","92000","82500","85000","84500","80000","82500","88000","90000","95000","97250","100000"
"E12000002","North West","E07000123","Preston","55995","67000","86750","102230","115000","124950","124950","120000","123995","114950","121000","120000","124999.5","124997.5","123250","126000","130000"
"E12000002","North West","E07000124","Ribble Valley","84000","105500","145000","160500","172000","182500","185000","160000","174000","185000","173000","178250","179950","187000","185000","195995","197500"
"E12000002","North West","E07000125","Rossendale","45000","58500","77000","89950","100000","111775","110000","105000","110000","105000","102500","105000","108000","119725","119000","123475","128750"
"E12000002","North West","E07000126","South Ribble","70000","87000","117500","124997.5","131250","144000","143500","135000","140000","135000","132000","135000","140000","143000","150000","153000","155000"
